task_id,parent_id,project_name,task_name,status,percentage_completion,date_created,start_date,due_date,date_completed,time_tracked_hours,task_type,complexity_points,priority,blocker_reason,quality_review_status,last_updated_date,predecessor_task_id,assignee_id
T-00001,,Holiday Marketing Campaign - Social Media Focus,Deployment Script - T-00001,todo,,2024-09-12,2024-09-18,2024-10-14,,,Deployment & Release,3,High,,,2025-07-02,,ASS-006
T-00002,T-00001,Customer Onboarding Flow Optimization,Data Collection Setup - T-00002,Review,,2024-07-19,2024-07-24,2024-08-23,2024-08-21,11.6,Analytics & Reporting,1,Low,,,2025-07-02,,ASS-009
T-00003,,Q3 Product Feature Launch - AI Integration,Performance Report - T-00003,Review,100.0,2024-11-13,2024-11-13,2024-11-24,2024-11-27,32.6,Analytics & Reporting,3,Critical,,,2025-07-04,,ASS-012
T-00004,T-00003,Customer Onboarding Flow Optimization,Wireframe Creation - T-00004,To Do,0.0,2025-03-06,2025-03-07,2025-04-20,,0.0,Design & UX,2,Critical,,,2025-07-03,,ASS-006
T-00005,T-00004,Q3 Product Feature Launch - AI Integration,Integration Testing - T-00005,To Do,0.0,2024-08-08,2024-08-08,2024-08-28,,,QA & Testing,5,Low,,,2025-06-29,,ASS-011
T-00006,T-00003,Q3 Product Feature Launch - AI Integration,Database Schema Update - T-00006,Completed,100.0,2024-09-29,2024-10-04,2024-11-23,2024-11-26,,Development (Backend),1,Low,,Major Rework,2025-07-03,,ASS-011
T-00007,T-00006,Customer Onboarding Flow Optimization,Frontend Bug Fix - T-00007,completed.,100.0,2025-03-04,2025-03-05,2025-03-22,2025-03-18,5.5,Development (Frontend),5,High,,,2025-07-06,T-00002,ASS-011
T-00008,T-00006,Internal Tool Development - Automation Suite,User Testing - T-00008,REVIEW,100.0,2024-12-01,2024-12-04,2025-01-22,2025-01-17,12.4,Design & UX,1,High,,Minor Rework,2025-06-23,,ASS-012
T-00009,T-00006,Holiday Marketing Campaign - Social Media Focus,Compliance Check - T-00009,To Do,0.0,2024-12-16,2024-12-16,2025-01-11,,,Legal & Compliance Review,3,low,,,2025-06-28,,ASS-008
T-00010,,Holiday Marketing Campaign - Social Media Focus,Performance Report - T-00010,To Do,0.0,2025-02-28,2025-03-06,2025-04-03,,0.0,Analytics & Reporting,2,Medium,,,2025-07-05,,ASS-004
T-00011,,Website Redesign - User Experience Overhaul,API Endpoint Creation - T-00011,To Do,,2025-04-07,2025-04-09,,,0.0,Development (Backend),4,High,,,2025-07-06,,ASS-006
